token,line,column,semantic,controlnum,feature,complexity,section,stimuli,pid
4.1_==.2,6,30,func_dec->compound->for->compound->if,2,control,5,0.333,19,1
numbers.1,3,35,func_dec,0,dec,3,0.667,19,1
num.6,7,29,func_dec->compound->for->compound->if->compound->coumpund_assign->ref_dec,2,dec,3,1.0,19,1
4.1_==.2,6,30,func_dec->compound->for->compound->if,2,control,5,0.111,19,2
num.6,7,29,func_dec->compound->for->compound->if->compound->coumpund_assign->ref_dec,2,dec,3,0.222,19,2
numbers.1,3,35,func_dec,0,dec,3,0.333,19,2
numbers.1,3,35,func_dec,0,dec,3,0.444,19,2
numbers.1,3,35,func_dec,0,dec,3,0.556,19,2
4.1,6,30,func_dec->compound->for->compound->if,2,control,5,0.667,19,2
0.3,6,35,func_dec->compound->for->compound->if,2,control,5,0.778,19,2
num.6,7,29,func_dec->compound->for->compound->if->compound->coumpund_assign->ref_dec,2,dec,3,0.889,19,2
4.1_%.2,6,30,func_dec->compound->for->compound->if,2,control,5,1.0,19,2
num.6,7,29,func_dec->compound->for->compound->if->compound->coumpund_assign->ref_dec,2,dec,3,1.0,19,3
num.3,6,24,func_dec->compound->for->compound->if,2,control,5,0.25,19,4
num.4,7,17,func_dec->compound->for->compound->if->compound->coumpund_assign->ref_dec,2,dec,3,0.5,19,4
numbers.2,5,18,func_dec->compound->for,1,control,1,0.75,19,4
num.6,7,29,func_dec->compound->for->compound->if->compound->coumpund_assign->ref_dec,2,dec,3,1.0,19,4
num.5,7,23,func_dec->compound->for->compound->if->compound->coumpund_assign->ref_dec,2,dec,3,0.333,19,6
0.2_&&.1,6,19,func_dec->compound->for->compound->if,2,control,5,0.667,19,6
0.3,6,35,func_dec->compound->for->compound->if,2,control,5,1.0,19,6
std.1_std::vector<int>.1,3,17,func_dec,0,dec,3,0.2,19,7
numbers.1,3,35,func_dec,0,dec,3,0.4,19,7
0.3,6,35,func_dec->compound->for->compound->if,2,control,5,0.6,19,7
4.1,6,30,func_dec->compound->for->compound->if,2,control,5,0.8,19,7
0.3,6,35,func_dec->compound->for->compound->if,2,control,5,1.0,19,7
0.1_=.1,4,16,func_dec->compound->dec->var_dec,0,dec,0,0.071,19,8
0.2_&&.1,6,19,func_dec->compound->for->compound->if,2,control,5,0.143,19,8
numbers.2,5,18,func_dec->compound->for,1,control,1,0.214,19,8
4.1_==.2,6,30,func_dec->compound->for->compound->if,2,control,5,0.286,19,8
num.1,5,12,func_dec->compound->for,1,control,1,0.357,19,8
output.1,4,7,func_dec->compound->dec->var_dec,0,dec,0,0.429,19,8
num.1,5,12,func_dec->compound->for,1,control,1,0.5,19,8
numbers.2,5,18,func_dec->compound->for,1,control,1,0.571,19,8
0.2_&&.1,6,19,func_dec->compound->for->compound->if,2,control,5,0.643,19,8
num.6,7,29,func_dec->compound->for->compound->if->compound->coumpund_assign->ref_dec,2,dec,3,0.714,19,8
num.5,7,23,func_dec->compound->for->compound->if->compound->coumpund_assign->ref_dec,2,dec,3,0.786,19,8
num.5,7,23,func_dec->compound->for->compound->if->compound->coumpund_assign->ref_dec,2,dec,3,0.857,19,8
numbers.2,5,18,func_dec->compound->for,1,control,1,0.929,19,8
4.1_==.2,6,30,func_dec->compound->for->compound->if,2,control,5,1.0,19,8
0.3,6,35,func_dec->compound->for->compound->if,2,control,5,1.0,19,9
std.1_std::vector<int>.1,3,17,func_dec,0,dec,3,0.25,19,12
numbers.1,3,35,func_dec,0,dec,3,0.5,19,12
0.3,6,35,func_dec->compound->for->compound->if,2,control,5,0.75,19,12
num.6,7,29,func_dec->compound->for->compound->if->compound->coumpund_assign->ref_dec,2,dec,3,1.0,19,12
4.1_%.2,6,30,func_dec->compound->for->compound->if,2,control,5,0.2,19,13
0.3,6,35,func_dec->compound->for->compound->if,2,control,5,0.4,19,13
numbers.2,5,18,func_dec->compound->for,1,control,1,0.6,19,13
numbers.1,3,35,func_dec,0,dec,3,0.8,19,13
0.3,6,35,func_dec->compound->for->compound->if,2,control,5,1.0,19,13
std.1_std::vector<int>.1,3,17,func_dec,0,dec,3,0.125,19,15
numbers.1,3,35,func_dec,0,dec,3,0.25,19,15
numbers.2,5,18,func_dec->compound->for,1,control,1,0.375,19,15
numbers.1,3,35,func_dec,0,dec,3,0.5,19,15
4.1,6,30,func_dec->compound->for->compound->if,2,control,5,0.625,19,15
num.6,7,29,func_dec->compound->for->compound->if->compound->coumpund_assign->ref_dec,2,dec,3,0.75,19,15
num.3,6,24,func_dec->compound->for->compound->if,2,control,5,0.875,19,15
num.6,7,29,func_dec->compound->for->compound->if->compound->coumpund_assign->ref_dec,2,dec,3,1.0,19,15
std.1_std::vector<int>.1,3,17,func_dec,0,dec,3,0.125,19,17
