token,line,column,semantic,controlnum,feature,complexity,section
>.1,3,9,func_dec->compound->while,1,control,1,0.007
mysteryOp.1,1,5,func_dec,0,dec,1,0.013
>.1,3,9,func_dec->compound->while,1,control,1,0.02
result.1,2,7,func_dec->compound->dec->var_dec,0,dec,0,0.026
>.1,3,9,func_dec->compound->while,1,control,1,0.033
2.2,6,6,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.039
while.1,3,3,func_dec->compound->while,1,control,1,0.046
result.2,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.052
if.1,4,3,func_dec->compound->while->compound->if,2,control,4,0.059
2.3,7,6,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.065
y.2,3,9,func_dec->compound->while,1,control,1,0.072
result.2,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.078
y.2,3,9,func_dec->compound->while,1,control,1,0.085
result.1,2,7,func_dec->compound->dec->var_dec,0,dec,0,0.092
y.2,3,9,func_dec->compound->while,1,control,1,0.098
result.2,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.105
2.1,4,8,func_dec->compound->while->compound->if,2,control,4,0.111
x.1,1,19,func_dec,0,dec,1,0.118
if.1,4,3,func_dec->compound->while->compound->if,2,control,4,0.124
!=.1,4,6,func_dec->compound->while->compound->if,2,control,4,0.131
0.1,2,14,func_dec->compound->dec->var_dec,0,dec,0,0.137
>.1,3,9,func_dec->compound->while,1,control,1,0.144
y.3,4,6,func_dec->compound->while->compound->if,2,control,4,0.15
result.1,2,7,func_dec->compound->dec->var_dec,0,dec,0,0.157
y.3,4,6,func_dec->compound->while->compound->if,2,control,4,0.163
result.2,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.17
if.1,4,3,func_dec->compound->while->compound->if,2,control,4,0.176
result.2,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.183
!=.1,4,6,func_dec->compound->while->compound->if,2,control,4,0.19
x.2,5,11,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.196
+=.1,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.203
2.1,4,8,func_dec->compound->while->compound->if,2,control,4,0.209
+=.1,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.216
2.1,4,8,func_dec->compound->while->compound->if,2,control,4,0.222
+=.1,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.229
mysteryOp.1,1,5,func_dec,0,dec,1,0.235
result.1,2,7,func_dec->compound->dec->var_dec,0,dec,0,0.242
!=.1_%.1,4,6,func_dec->compound->while->compound->if,2,control,4,0.248
>.1,3,9,func_dec->compound->while,1,control,1,0.255
y.3,4,6,func_dec->compound->while->compound->if,2,control,4,0.261
result.1,2,7,func_dec->compound->dec->var_dec,0,dec,0,0.268
2.1,4,8,func_dec->compound->while->compound->if,2,control,4,0.275
0.2,3,11,func_dec->compound->while,1,control,1,0.281
0.1_=.1,2,14,func_dec->compound->dec->var_dec,0,dec,0,0.288
result.1,2,7,func_dec->compound->dec->var_dec,0,dec,0,0.294
y.3,4,6,func_dec->compound->while->compound->if,2,control,4,0.301
result.1,2,7,func_dec->compound->dec->var_dec,0,dec,0,0.307
x.1_int.3,1,19,func_dec,0,dec,1,0.314
y.1,1,26,func_dec,0,dec,1,0.32
result.1,2,7,func_dec->compound->dec->var_dec,0,dec,0,0.327
mysteryOp.1,1,5,func_dec,0,dec,1,0.333
>.1,3,9,func_dec->compound->while,1,control,1,0.34
y.2,3,9,func_dec->compound->while,1,control,1,0.346
y.3,4,6,func_dec->compound->while->compound->if,2,control,4,0.353
!=.1,4,6,func_dec->compound->while->compound->if,2,control,4,0.359
x.3,6,3,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.366
!=.1,4,6,func_dec->compound->while->compound->if,2,control,4,0.373
y.1,1,26,func_dec,0,dec,1,0.379
0.3,4,11,func_dec->compound->while->compound->if,2,control,4,0.386
x.3,6,3,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.392
0.3,4,11,func_dec->compound->while->compound->if,2,control,4,0.399
x.3,6,3,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.405
y.1,1,26,func_dec,0,dec,1,0.412
x.2,5,11,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.418
0.3_=.2,4,11,func_dec->compound->while->compound->if,2,control,4,0.425
y.2,3,9,func_dec->compound->while,1,control,1,0.431
y.3,4,6,func_dec->compound->while->compound->if,2,control,4,0.438
result.2,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.444
2.3,7,6,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.451
2.2,6,6,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.458
2.3,7,6,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.464
result.2,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.471
2.2,6,6,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.477
2.3,7,6,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.484
0.3,4,11,func_dec->compound->while->compound->if,2,control,4,0.49
+=.1,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.497
0.3_=.2,4,11,func_dec->compound->while->compound->if,2,control,4,0.503
/=.1_/.1,7,3,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.51
0.3_=.2,4,11,func_dec->compound->while->compound->if,2,control,4,0.516
2.3,7,6,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.523
2.2,6,6,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.529
0.3_=.2,4,11,func_dec->compound->while->compound->if,2,control,4,0.536
2.3,7,6,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.542
result.2,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.549
0.3_=.2,4,11,func_dec->compound->while->compound->if,2,control,4,0.556
2.3,7,6,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.562
result.2,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.569
x.3,6,3,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.575
2.3,7,6,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.582
2.2,6,6,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.588
2.3,7,6,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.595
result.2,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.601
2.2,6,6,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.608
2.3,7,6,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.614
2.2,6,6,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.621
+=.1,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.627
result.2,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.634
2.2,6,6,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.641
result.2,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.647
!=.1_%.1,4,6,func_dec->compound->while->compound->if,2,control,4,0.654
+=.1,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.66
y.3,4,6,func_dec->compound->while->compound->if,2,control,4,0.667
2.2,6,6,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.673
result.2,5,3,func_dec->compound->while->compound->if->compound->coumpund_assign,2,cal,2,0.68
2.2,6,6,func_dec->compound->while->compound->coumpund_assign,1,cal,2,0.686
