node,Line,Column,semanic,controlnum,feature,complexity
std.1,2,17,USING_DIRECTIVE->ref,0,dec,0
main.1,3,5,func_dec,0,dec,1
n.1,5,12,FUNCTION_DECL ->COMPOUND_STMT ->for->unary,1,cal,2
10.1,5,14,FUNCTION_DECL ->COMPOUND_STMT ->for->unary,1,cal,2
n.2,5,17,FUNCTION_DECL ->COMPOUND_STMT ->for->unary,1,cal,2
0.1,5,19,FUNCTION_DECL ->COMPOUND_STMT ->for->unary,1,cal,2
n--.1,5,21,FUNCTION_DECL ->COMPOUND_STMT ->for->unary,1,cal,2
n.3,5,21,FUNCTION_DECL ->COMPOUND_STMT ->for->unary,1,cal,2
operator<<.1,7,3,FUNCTION_DECL ->COMPOUND_STMT ->FOR_STMT ->compound->call_exp,0,dec,0
cout.1,7,3,FUNCTION_DECL ->COMPOUND_STMT ->FOR_STMT ->compound->call_exp,0,dec,0
operator<<.2,7,7,FUNCTION_DECL ->COMPOUND_STMT ->FOR_STMT ->compound->call_exp,0,dec,0
n.4,7,9,FUNCTION_DECL ->COMPOUND_STMT ->FOR_STMT ->compound->call_exp,0,dec,0
operator<<.3,7,10,FUNCTION_DECL ->COMPOUND_STMT ->FOR_STMT ->compound->call_exp,0,dec,0
"if(n==3)
  {
  cout<<""countdonw aborted!"";
  break;
  }.1",8,3,FUNCTION_DECL ->COMPOUND_STMT ->FOR_STMT ->compound->if,1,control,1
n.5,8,6,FUNCTION_DECL ->COMPOUND_STMT ->FOR_STMT ->compound->if,1,control,1
3.1,8,9,FUNCTION_DECL ->COMPOUND_STMT ->FOR_STMT ->compound->if,1,control,1
operator<<.4,10,3,FUNCTION_DECL ->COMPOUND_STMT ->FOR_STMT ->COMPOUND_STMT ->IF_STMT ->compound->call_exp,0,dec,1
cout.2,10,3,FUNCTION_DECL ->COMPOUND_STMT ->FOR_STMT ->COMPOUND_STMT ->IF_STMT ->compound->call_exp,0,dec,1
operator<<.5,10,7,FUNCTION_DECL ->COMPOUND_STMT ->FOR_STMT ->COMPOUND_STMT ->IF_STMT ->compound->call_exp,0,dec,1
break.1,11,3,FUNCTION_DECL ->COMPOUND_STMT ->FOR_STMT ->COMPOUND_STMT ->IF_STMT ->compound->BREAK_STMT,0,,0
