node,text,kind,Line,Column,Parental
afunc.1,"int afunc(const std::vector<int>& numbers){
  int output = 0;
  for (int num : numbers){
    if(num % 2 == 0 && num % 4 == 0){
      output += num * num * num;
    }
  }
  return output;
}.1",CursorKind.FUNCTION_DECL,3,5,CursorKind.TRANSLATION_UNIT(stim19.cpp)
std.1,std.1,CursorKind.NAMESPACE_REF,3,17,CursorKind.TRANSLATION_UNIT(stim19.cpp)->CursorKind.FUNCTION_DECL(afunc)->CursorKind.PARM_DECL(numbers)
vector.1,vector.1,CursorKind.TEMPLATE_REF,3,22,CursorKind.TRANSLATION_UNIT(stim19.cpp)->CursorKind.FUNCTION_DECL(afunc)->CursorKind.PARM_DECL(numbers)
numbers.1,const std::vector<int>& numbers.1,CursorKind.PARM_DECL,3,35,CursorKind.TRANSLATION_UNIT(stim19.cpp)->CursorKind.FUNCTION_DECL(afunc)
output.1,int output = 0.1,CursorKind.VAR_DECL,4,7,CursorKind.TRANSLATION_UNIT(stim19.cpp)->CursorKind.FUNCTION_DECL(afunc)->CursorKind.COMPOUND_STMT()->CursorKind.DECL_STMT()
0.1,0.1,CursorKind.INTEGER_LITERAL,4,16,CursorKind.TRANSLATION_UNIT(stim19.cpp)->CursorKind.FUNCTION_DECL(afunc)->CursorKind.COMPOUND_STMT()->CursorKind.DECL_STMT()->CursorKind.VAR_DECL(output)
for.1,for.1,CursorKind.CXX_FOR_RANGE_STMT,5,3,CursorKind.TRANSLATION_UNIT(stim19.cpp)->CursorKind.FUNCTION_DECL(afunc)->CursorKind.COMPOUND_STMT()
num.1,int num :.1,CursorKind.VAR_DECL,5,12,CursorKind.TRANSLATION_UNIT(stim19.cpp)->CursorKind.FUNCTION_DECL(afunc)->CursorKind.COMPOUND_STMT()->CursorKind.CXX_FOR_RANGE_STMT()
:.1,:.1,CursorKind.UNEXPOSED_EXPR,5,16,CursorKind.TRANSLATION_UNIT(stim19.cpp)->CursorKind.FUNCTION_DECL(afunc)->CursorKind.COMPOUND_STMT()->CursorKind.CXX_FOR_RANGE_STMT()->CursorKind.VAR_DECL(num)
numbers.2,numbers.1,CursorKind.DECL_REF_EXPR,5,18,CursorKind.TRANSLATION_UNIT(stim19.cpp)->CursorKind.FUNCTION_DECL(afunc)->CursorKind.COMPOUND_STMT()->CursorKind.CXX_FOR_RANGE_STMT()
