node,text,kind,Line,Column,Parental
std.1,std.1,CursorKind.NAMESPACE_REF,3,17,CursorKind.TRANSLATION_UNIT(stim22.cpp)->CursorKind.USING_DIRECTIVE()
afunc.1,"int afunc(int terms){
  if (terms == 0){
  return 1;
  } else {
  return std::pow(2, terms) +afunc(terms - 1);
  }
}.1",CursorKind.FUNCTION_DECL,4,5,CursorKind.TRANSLATION_UNIT(stim22.cpp)
terms.1,int terms.1,CursorKind.PARM_DECL,4,15,CursorKind.TRANSLATION_UNIT(stim22.cpp)->CursorKind.FUNCTION_DECL(afunc)
if.1,if.1,CursorKind.IF_STMT,5,3,CursorKind.TRANSLATION_UNIT(stim22.cpp)->CursorKind.FUNCTION_DECL(afunc)->CursorKind.COMPOUND_STMT()
terms.2,terms.1,CursorKind.UNEXPOSED_EXPR,5,7,CursorKind.TRANSLATION_UNIT(stim22.cpp)->CursorKind.FUNCTION_DECL(afunc)->CursorKind.COMPOUND_STMT()->CursorKind.IF_STMT()->CursorKind.BINARY_OPERATOR()
0.1,0.1,CursorKind.INTEGER_LITERAL,5,16,CursorKind.TRANSLATION_UNIT(stim22.cpp)->CursorKind.FUNCTION_DECL(afunc)->CursorKind.COMPOUND_STMT()->CursorKind.IF_STMT()->CursorKind.BINARY_OPERATOR()
return.1,return.1,CursorKind.RETURN_STMT,6,3,CursorKind.TRANSLATION_UNIT(stim22.cpp)->CursorKind.FUNCTION_DECL(afunc)->CursorKind.COMPOUND_STMT()->CursorKind.IF_STMT()->CursorKind.COMPOUND_STMT()
1.1,1.1,CursorKind.INTEGER_LITERAL,6,10,CursorKind.TRANSLATION_UNIT(stim22.cpp)->CursorKind.FUNCTION_DECL(afunc)->CursorKind.COMPOUND_STMT()->CursorKind.IF_STMT()->CursorKind.COMPOUND_STMT()->CursorKind.RETURN_STMT()
return.2,return.2,CursorKind.RETURN_STMT,8,3,CursorKind.TRANSLATION_UNIT(stim22.cpp)->CursorKind.FUNCTION_DECL(afunc)->CursorKind.COMPOUND_STMT()->CursorKind.IF_STMT()->CursorKind.COMPOUND_STMT()
pow.1,"std::pow(2, terms).1",CursorKind.CALL_EXPR,8,10,CursorKind.TRANSLATION_UNIT(stim22.cpp)->CursorKind.FUNCTION_DECL(afunc)->CursorKind.COMPOUND_STMT()->CursorKind.IF_STMT()->CursorKind.COMPOUND_STMT()->CursorKind.RETURN_STMT()->CursorKind.UNEXPOSED_EXPR()->CursorKind.BINARY_OPERATOR()
std.2,std.2,CursorKind.NAMESPACE_REF,8,10,CursorKind.TRANSLATION_UNIT(stim22.cpp)->CursorKind.FUNCTION_DECL(afunc)->CursorKind.COMPOUND_STMT()->CursorKind.IF_STMT()->CursorKind.COMPOUND_STMT()->CursorKind.RETURN_STMT()->CursorKind.UNEXPOSED_EXPR()->CursorKind.BINARY_OPERATOR()->CursorKind.CALL_EXPR(pow)->CursorKind.UNEXPOSED_EXPR(pow)->CursorKind.DECL_REF_EXPR(pow)
pow.2,std::pow.1,CursorKind.UNEXPOSED_EXPR,8,15,CursorKind.TRANSLATION_UNIT(stim22.cpp)->CursorKind.FUNCTION_DECL(afunc)->CursorKind.COMPOUND_STMT()->CursorKind.IF_STMT()->CursorKind.COMPOUND_STMT()->CursorKind.RETURN_STMT()->CursorKind.UNEXPOSED_EXPR()->CursorKind.BINARY_OPERATOR()->CursorKind.CALL_EXPR(pow)
