node,text,kind,Line,Column,Parental
using namespace std,using namespace std,CursorKind.USING_DIRECTIVE,2,17,CursorKind.TRANSLATION_UNIT(stim17.cpp)
std,std,CursorKind.NAMESPACE_REF,2,17,CursorKind.TRANSLATION_UNIT(stim17.cpp) -> CursorKind.USING_DIRECTIVE()
main,"int main()
{
  for (int n=10;n>0;n--)
  {
  cout<<n<<"", "";
  if(n==3)
  {
  cout<<""countdonw aborted!"";
  break;
  }
  }
 }",CursorKind.FUNCTION_DECL,3,5,CursorKind.TRANSLATION_UNIT(stim17.cpp)
"{
  for (int n=10;n>0;n--)
  {
  cout<<n<<"", "";
  if(n==3)
  {
  cout<<""countdonw aborted!"";
  break;
  }
  }
 }","{
  for (int n=10;n>0;n--)
  {
  cout<<n<<"", "";
  if(n==3)
  {
  cout<<""countdonw aborted!"";
  break;
  }
  }
 }",CursorKind.COMPOUND_STMT,4,1,CursorKind.TRANSLATION_UNIT(stim17.cpp) -> CursorKind.FUNCTION_DECL(main)
"for (int n=10;n>0;n--)
  {
  cout<<n<<"", "";
  if(n==3)
  {
  cout<<""countdonw aborted!"";
  break;
  }
  }","for (int n=10;n>0;n--)
  {
  cout<<n<<"", "";
  if(n==3)
  {
  cout<<""countdonw aborted!"";
  break;
  }
  }",CursorKind.FOR_STMT,5,3,CursorKind.TRANSLATION_UNIT(stim17.cpp) -> CursorKind.FUNCTION_DECL(main) -> CursorKind.COMPOUND_STMT()
int n=10;,int n=10;,CursorKind.DECL_STMT,5,8,CursorKind.TRANSLATION_UNIT(stim17.cpp) -> CursorKind.FUNCTION_DECL(main) -> CursorKind.COMPOUND_STMT() -> CursorKind.FOR_STMT()
n,int n=10,CursorKind.VAR_DECL,5,12,CursorKind.TRANSLATION_UNIT(stim17.cpp) -> CursorKind.FUNCTION_DECL(main) -> CursorKind.COMPOUND_STMT() -> CursorKind.FOR_STMT() -> CursorKind.DECL_STMT()
10,10,CursorKind.INTEGER_LITERAL,5,14,CursorKind.TRANSLATION_UNIT(stim17.cpp) -> CursorKind.FUNCTION_DECL(main) -> CursorKind.COMPOUND_STMT() -> CursorKind.FOR_STMT() -> CursorKind.DECL_STMT() -> CursorKind.VAR_DECL(n)
n>0,n>0,CursorKind.BINARY_OPERATOR,5,17,CursorKind.TRANSLATION_UNIT(stim17.cpp) -> CursorKind.FUNCTION_DECL(main) -> CursorKind.COMPOUND_STMT() -> CursorKind.FOR_STMT()
n,n,CursorKind.UNEXPOSED_EXPR,5,17,CursorKind.TRANSLATION_UNIT(stim17.cpp) -> CursorKind.FUNCTION_DECL(main) -> CursorKind.COMPOUND_STMT() -> CursorKind.FOR_STMT() -> CursorKind.BINARY_OPERATOR()
