node,text,kind,Line,Column,Parental
using namespace std,using namespace std,CursorKind.USING_DIRECTIVE,3,17,CursorKind.TRANSLATION_UNIT(stim18.cpp)
std,std,CursorKind.NAMESPACE_REF,3,17,CursorKind.TRANSLATION_UNIT(stim18.cpp)->CursorKind.USING_DIRECTIVE()
compute,"double compute(int n){
  double output = 0.0;
  for (int i = 1; i <= n; ++i ){
    if(i % 2 == 0){
    output -=1 / pow (i, 2.0);
    }else{
    output += 1 / pow (i, 2.0);
    }
  }
  return output;
}",CursorKind.FUNCTION_DECL,4,8,CursorKind.TRANSLATION_UNIT(stim18.cpp)
n,int n,CursorKind.PARM_DECL,4,20,CursorKind.TRANSLATION_UNIT(stim18.cpp)->CursorKind.FUNCTION_DECL(compute)
"{
  double output = 0.0;
  for (int i = 1; i <= n; ++i ){
    if(i % 2 == 0){
    output -=1 / pow (i, 2.0);
    }else{
    output += 1 / pow (i, 2.0);
    }
  }
  return output;
}","{
  double output = 0.0;
  for (int i = 1; i <= n; ++i ){
    if(i % 2 == 0){
    output -=1 / pow (i, 2.0);
    }else{
    output += 1 / pow (i, 2.0);
    }
  }
  return output;
}",CursorKind.COMPOUND_STMT,4,22,CursorKind.TRANSLATION_UNIT(stim18.cpp)->CursorKind.FUNCTION_DECL(compute)
double output = 0.0;,double output = 0.0;,CursorKind.DECL_STMT,5,3,CursorKind.TRANSLATION_UNIT(stim18.cpp)->CursorKind.FUNCTION_DECL(compute)->CursorKind.COMPOUND_STMT()
output,double output = 0.0,CursorKind.VAR_DECL,5,10,CursorKind.TRANSLATION_UNIT(stim18.cpp)->CursorKind.FUNCTION_DECL(compute)->CursorKind.COMPOUND_STMT()->CursorKind.DECL_STMT()
0.0,0.0,CursorKind.FLOATING_LITERAL,5,19,CursorKind.TRANSLATION_UNIT(stim18.cpp)->CursorKind.FUNCTION_DECL(compute)->CursorKind.COMPOUND_STMT()->CursorKind.DECL_STMT()->CursorKind.VAR_DECL(output)
"for (int i = 1; i <= n; ++i ){
    if(i % 2 == 0){
    output -=1 / pow (i, 2.0);
    }else{
    output += 1 / pow (i, 2.0);
    }
  }","for (int i = 1; i <= n; ++i ){
    if(i % 2 == 0){
    output -=1 / pow (i, 2.0);
    }else{
    output += 1 / pow (i, 2.0);
    }
  }",CursorKind.FOR_STMT,6,3,CursorKind.TRANSLATION_UNIT(stim18.cpp)->CursorKind.FUNCTION_DECL(compute)->CursorKind.COMPOUND_STMT()
int i = 1;,int i = 1;,CursorKind.DECL_STMT,6,8,CursorKind.TRANSLATION_UNIT(stim18.cpp)->CursorKind.FUNCTION_DECL(compute)->CursorKind.COMPOUND_STMT()->CursorKind.FOR_STMT()
i,int i = 1,CursorKind.VAR_DECL,6,12,CursorKind.TRANSLATION_UNIT(stim18.cpp)->CursorKind.FUNCTION_DECL(compute)->CursorKind.COMPOUND_STMT()->CursorKind.FOR_STMT()->CursorKind.DECL_STMT()
1,1,CursorKind.INTEGER_LITERAL,6,16,CursorKind.TRANSLATION_UNIT(stim18.cpp)->CursorKind.FUNCTION_DECL(compute)->CursorKind.COMPOUND_STMT()->CursorKind.FOR_STMT()->CursorKind.DECL_STMT()->CursorKind.VAR_DECL(i)
i <= n,<,CursorKind.BINARY_OPERATOR,6,19,CursorKind.TRANSLATION_UNIT(stim18.cpp)->CursorKind.FUNCTION_DECL(compute)->CursorKind.COMPOUND_STMT()->CursorKind.FOR_STMT()
i,i,CursorKind.UNEXPOSED_EXPR,6,19,CursorKind.TRANSLATION_UNIT(stim18.cpp)->CursorKind.FUNCTION_DECL(compute)->CursorKind.COMPOUND_STMT()->CursorKind.FOR_STMT()->CursorKind.BINARY_OPERATOR()
i,i,CursorKind.DECL_REF_EXPR,6,19,CursorKind.TRANSLATION_UNIT(stim18.cpp)->CursorKind.FUNCTION_DECL(compute)->CursorKind.COMPOUND_STMT()->CursorKind.FOR_STMT()->CursorKind.BINARY_OPERATOR()->CursorKind.UNEXPOSED_EXPR(i)
n,n,CursorKind.UNEXPOSED_EXPR,6,24,CursorKind.TRANSLATION_UNIT(stim18.cpp)->CursorKind.FUNCTION_DECL(compute)->CursorKind.COMPOUND_STMT()->CursorKind.FOR_STMT()->CursorKind.BINARY_OPERATOR()
n,n,CursorKind.DECL_REF_EXPR,6,24,CursorKind.TRANSLATION_UNIT(stim18.cpp)->CursorKind.FUNCTION_DECL(compute)->CursorKind.COMPOUND_STMT()->CursorKind.FOR_STMT()->CursorKind.BINARY_OPERATOR()->CursorKind.UNEXPOSED_EXPR(n)
++i,++i,CursorKind.UNARY_OPERATOR,6,27,CursorKind.TRANSLATION_UNIT(stim18.cpp)->CursorKind.FUNCTION_DECL(compute)->CursorKind.COMPOUND_STMT()->CursorKind.FOR_STMT()
i,i,CursorKind.DECL_REF_EXPR,6,29,CursorKind.TRANSLATION_UNIT(stim18.cpp)->CursorKind.FUNCTION_DECL(compute)->CursorKind.COMPOUND_STMT()->CursorKind.FOR_STMT()->CursorKind.UNARY_OPERATOR()
"{
    if(i % 2 == 0){
    output -=1 / pow (i, 2.0);
    }else{
    output += 1 / pow (i, 2.0);
    }
  }","{
    if(i % 2 == 0){
    output -=1 / pow (i, 2.0);
    }else{
    output += 1 / pow (i, 2.0);
    }
  }",CursorKind.COMPOUND_STMT,6,32,CursorKind.TRANSLATION_UNIT(stim18.cpp)->CursorKind.FUNCTION_DECL(compute)->CursorKind.COMPOUND_STMT()->CursorKind.FOR_STMT()
"if(i % 2 == 0){
    output -=1 / pow (i, 2.0);
    }else{
    output += 1 / pow (i, 2.0);
    }",if,CursorKind.IF_STMT,7,5,CursorKind.TRANSLATION_UNIT(stim18.cpp)->CursorKind.FUNCTION_DECL(compute)->CursorKind.COMPOUND_STMT()->CursorKind.FOR_STMT()->CursorKind.COMPOUND_STMT()
i % 2 == 0,==,CursorKind.BINARY_OPERATOR,7,8,CursorKind.TRANSLATION_UNIT(stim18.cpp)->CursorKind.FUNCTION_DECL(compute)->CursorKind.COMPOUND_STMT()->CursorKind.FOR_STMT()->CursorKind.COMPOUND_STMT()->CursorKind.IF_STMT()
