node,Line,Column,semanic,controlnum,feature,complexity
mystery.1,1,5,func_dec,0,dec,1
arr.1,1,18,func_dec,0,dec,1
size.1,1,29,func_dec,0,dec,1
expectedSum.1,2,7,func_dec->compound->dec->var_dec,0,dec,7
arr[0].1,2,21,func_dec->compound->dec->var_dec,0,dec,7
arr.2,2,21,func_dec->compound->dec->var_dec,0,dec,7
0.1,2,25,func_dec->compound->dec->var_dec,0,dec,7
arr.3,2,31,func_dec->compound->dec->var_dec,0,dec,7
size.2,2,35,func_dec->compound->dec->var_dec,0,dec,7
1.1,2,42,func_dec->compound->dec->var_dec,0,dec,7
arr.4,2,47,func_dec->compound->dec->var_dec,0,dec,7
size.3,2,51,func_dec->compound->dec->var_dec,0,dec,7
1.2,2,58,func_dec->compound->dec->var_dec,0,dec,7
1.3,2,63,func_dec->compound->dec->var_dec,0,dec,7
2.1,2,68,func_dec->compound->dec->var_dec,0,dec,7
actualSum.1,3,7,func_dec->compound->dec->var_dec,0,dec,0
0.2,3,19,func_dec->compound->dec->var_dec,0,dec,0
for.1,7,7,func_dec->compound->dec->for,1,control,1
i.1,7,7,func_dec->compound->dec->for,1,control,1
arr.5,7,7,func_dec->compound->dec->for,1,control,1
actualSum.2,8,7,func_dec->compound->dec->for->cal,1,cal,1
i.2,8,7,func_dec->compound->dec->for->cal,1,cal,1
expectedSum.2,7,16,func_dec->compound->dec->var_dec,0,dec,1
result.1,7,7,func_dec->compound->dec->var_dec,0,dec,1
expectedSum.2,7,16,func_dec->compound->dec->var_dec,0,dec,1
actualSum.3,7,30,func_dec->compound->dec->var_dec,0,dec,1
return.1,8,3,func_dec->compound->return,0,return,0
result.2,8,10,func_dec->compound->return,0,return,0
