node,text,kind,Line,Column,Parental
operate,"long long operate(int n){
  switch (n){
    case 0:
      return 0;
    case 1:
      return 1;
    default:
      long long mystery1=0;
      long long mystery2=1;
      for (int i=2; i<n; ++i){
        long long mystery3=mystery1
        mystery1=mystery2;
        mystery2=mystery3;
      }
      return mystery2;
      }
 }",CursorKind.FUNCTION_DECL,1,11,CursorKind.TRANSLATION_UNIT(stim24.cpp)
n,int n,CursorKind.PARM_DECL,1,23,CursorKind.TRANSLATION_UNIT(stim24.cpp)->CursorKind.FUNCTION_DECL(operate)
switch,switch,CursorKind.SWITCH_STMT,2,3,CursorKind.TRANSLATION_UNIT(stim24.cpp)->CursorKind.FUNCTION_DECL(operate)->CursorKind.COMPOUND_STMT()
n,n,CursorKind.UNEXPOSED_EXPR,2,11,CursorKind.TRANSLATION_UNIT(stim24.cpp)->CursorKind.FUNCTION_DECL(operate)->CursorKind.COMPOUND_STMT()->CursorKind.SWITCH_STMT()
case,case,CursorKind.CASE_STMT,3,5,CursorKind.TRANSLATION_UNIT(stim24.cpp)->CursorKind.FUNCTION_DECL(operate)->CursorKind.COMPOUND_STMT()->CursorKind.SWITCH_STMT()->CursorKind.COMPOUND_STMT()
0,0,CursorKind.INTEGER_LITERAL,3,10,CursorKind.TRANSLATION_UNIT(stim24.cpp)->CursorKind.FUNCTION_DECL(operate)->CursorKind.COMPOUND_STMT()->CursorKind.SWITCH_STMT()->CursorKind.COMPOUND_STMT()->CursorKind.CASE_STMT()
return,return,CursorKind.RETURN_STMT,4,7,CursorKind.TRANSLATION_UNIT(stim24.cpp)->CursorKind.FUNCTION_DECL(operate)->CursorKind.COMPOUND_STMT()->CursorKind.SWITCH_STMT()->CursorKind.COMPOUND_STMT()->CursorKind.CASE_STMT()
0,0,CursorKind.UNEXPOSED_EXPR,4,14,CursorKind.TRANSLATION_UNIT(stim24.cpp)->CursorKind.FUNCTION_DECL(operate)->CursorKind.COMPOUND_STMT()->CursorKind.SWITCH_STMT()->CursorKind.COMPOUND_STMT()->CursorKind.CASE_STMT()->CursorKind.RETURN_STMT()
case,case,CursorKind.CASE_STMT,5,5,CursorKind.TRANSLATION_UNIT(stim24.cpp)->CursorKind.FUNCTION_DECL(operate)->CursorKind.COMPOUND_STMT()->CursorKind.SWITCH_STMT()->CursorKind.COMPOUND_STMT()
1,1,CursorKind.INTEGER_LITERAL,5,10,CursorKind.TRANSLATION_UNIT(stim24.cpp)->CursorKind.FUNCTION_DECL(operate)->CursorKind.COMPOUND_STMT()->CursorKind.SWITCH_STMT()->CursorKind.COMPOUND_STMT()->CursorKind.CASE_STMT()
return,return,CursorKind.RETURN_STMT,6,7,CursorKind.TRANSLATION_UNIT(stim24.cpp)->CursorKind.FUNCTION_DECL(operate)->CursorKind.COMPOUND_STMT()->CursorKind.SWITCH_STMT()->CursorKind.COMPOUND_STMT()->CursorKind.CASE_STMT()
1,1,CursorKind.UNEXPOSED_EXPR,6,14,CursorKind.TRANSLATION_UNIT(stim24.cpp)->CursorKind.FUNCTION_DECL(operate)->CursorKind.COMPOUND_STMT()->CursorKind.SWITCH_STMT()->CursorKind.COMPOUND_STMT()->CursorKind.CASE_STMT()->CursorKind.RETURN_STMT()
mystery1,long long mystery1=0,CursorKind.VAR_DECL,8,17,CursorKind.TRANSLATION_UNIT(stim24.cpp)->CursorKind.FUNCTION_DECL(operate)->CursorKind.COMPOUND_STMT()->CursorKind.SWITCH_STMT()->CursorKind.COMPOUND_STMT()->CursorKind.DEFAULT_STMT()->CursorKind.DECL_STMT()
0,0,CursorKind.UNEXPOSED_EXPR,8,26,CursorKind.TRANSLATION_UNIT(stim24.cpp)->CursorKind.FUNCTION_DECL(operate)->CursorKind.COMPOUND_STMT()->CursorKind.SWITCH_STMT()->CursorKind.COMPOUND_STMT()->CursorKind.DEFAULT_STMT()->CursorKind.DECL_STMT()->CursorKind.VAR_DECL(mystery1)
mystery2,long long mystery2=1,CursorKind.VAR_DECL,9,17,CursorKind.TRANSLATION_UNIT(stim24.cpp)->CursorKind.FUNCTION_DECL(operate)->CursorKind.COMPOUND_STMT()->CursorKind.SWITCH_STMT()->CursorKind.COMPOUND_STMT()->CursorKind.DECL_STMT()
1,1,CursorKind.UNEXPOSED_EXPR,9,26,CursorKind.TRANSLATION_UNIT(stim24.cpp)->CursorKind.FUNCTION_DECL(operate)->CursorKind.COMPOUND_STMT()->CursorKind.SWITCH_STMT()->CursorKind.COMPOUND_STMT()->CursorKind.DECL_STMT()->CursorKind.VAR_DECL(mystery2)
i,int i=2,CursorKind.VAR_DECL,10,16,CursorKind.TRANSLATION_UNIT(stim24.cpp)->CursorKind.FUNCTION_DECL(operate)->CursorKind.COMPOUND_STMT()->CursorKind.SWITCH_STMT()->CursorKind.COMPOUND_STMT()->CursorKind.FOR_STMT()->CursorKind.DECL_STMT()
2,2,CursorKind.INTEGER_LITERAL,10,18,CursorKind.TRANSLATION_UNIT(stim24.cpp)->CursorKind.FUNCTION_DECL(operate)->CursorKind.COMPOUND_STMT()->CursorKind.SWITCH_STMT()->CursorKind.COMPOUND_STMT()->CursorKind.FOR_STMT()->CursorKind.DECL_STMT()->CursorKind.VAR_DECL(i)
<,<,CursorKind.BINARY_OPERATOR,10,21,CursorKind.TRANSLATION_UNIT(stim24.cpp)->CursorKind.FUNCTION_DECL(operate)->CursorKind.COMPOUND_STMT()->CursorKind.SWITCH_STMT()->CursorKind.COMPOUND_STMT()->CursorKind.FOR_STMT()
i,i,CursorKind.UNEXPOSED_EXPR,10,21,CursorKind.TRANSLATION_UNIT(stim24.cpp)->CursorKind.FUNCTION_DECL(operate)->CursorKind.COMPOUND_STMT()->CursorKind.SWITCH_STMT()->CursorKind.COMPOUND_STMT()->CursorKind.FOR_STMT()->CursorKind.BINARY_OPERATOR()
n,n,CursorKind.UNEXPOSED_EXPR,10,23,CursorKind.TRANSLATION_UNIT(stim24.cpp)->CursorKind.FUNCTION_DECL(operate)->CursorKind.COMPOUND_STMT()->CursorKind.SWITCH_STMT()->CursorKind.COMPOUND_STMT()->CursorKind.FOR_STMT()->CursorKind.BINARY_OPERATOR()
++i,++i,CursorKind.UNARY_OPERATOR,10,26,CursorKind.TRANSLATION_UNIT(stim24.cpp)->CursorKind.FUNCTION_DECL(operate)->CursorKind.COMPOUND_STMT()->CursorKind.SWITCH_STMT()->CursorKind.COMPOUND_STMT()->CursorKind.FOR_STMT()
i,i,CursorKind.DECL_REF_EXPR,10,28,CursorKind.TRANSLATION_UNIT(stim24.cpp)->CursorKind.FUNCTION_DECL(operate)->CursorKind.COMPOUND_STMT()->CursorKind.SWITCH_STMT()->CursorKind.COMPOUND_STMT()->CursorKind.FOR_STMT()->CursorKind.UNARY_OPERATOR()
mystery3,long long mystery3=mystery1,CursorKind.VAR_DECL,11,19,CursorKind.TRANSLATION_UNIT(stim24.cpp)->CursorKind.FUNCTION_DECL(operate)->CursorKind.COMPOUND_STMT()->CursorKind.SWITCH_STMT()->CursorKind.COMPOUND_STMT()->CursorKind.FOR_STMT()->CursorKind.COMPOUND_STMT()->CursorKind.DECL_STMT()
